year,Theme name,Sets Name,Set Price,Number of reviews,Star rating
2007,Duplo and Explore,Farm Animals,12.10307619,16,4.51413401
2007,Basic Set,Fun Creations,31.787838095,16,4.51413401
2000,Scala,Puppy Playground,5.2211,1,5.0
1985,Town,Farm Animals,12.10307619,16,4.51413401
1993,Duplo and Explore,Airport,29.7816,15,4.556383226
2019,Star Wars,Resistance Bomber,141.28807619,23,4.6
2019,Frozen,Elsa's Magical Ice Palace,90.196552381,5,4.0
2009,Creator 3-in-1,Fire Truck,30.794171429,2,5.0
1973,Vehicle,London Bus,154.405219048,53,4.6
1982,Boat,Fire Boat,78.9911,2,4.5
2017,Police,Police Starter Set,10.0611,8,4.6
2016,Architecture,Buckingham Palace,63.822266667,24,4.7
2016,Nexo Knights,Axl's Tower Carrier,70.0911,3,5.0
2017,Technic,Stunt Bike,24.79212381,2,4.0
2016,Police,Police Patrol Boat,48.3911,5,3.2
2016,Creator 3-in-1,Ocean Explorer,119.547625,14,4.6
2015,Creator,Winter Toy Shop,91.499231579,142,3.8
2016,Super Heroes Marvel,Doctor Strange's Sanctum Sanctorum,30.5911,15,4.5
2016,Speed Champions,Audi R18 e-tron quattro,14.5111,9,4.7
2016,Fire,Fire Boat,78.9911,2,4.5
2012,Friends,Mia's Bedroom,12.314375,3,3.0
2010,Fire,Fire Boat,78.9911,2,4.5
2014,Creator,Fast Car,19.7411,8,4.6
2014,Creator Expert,MINI Cooper,114.474647619,134,4.7
2010,Star Wars,Slave I,246.829978947,201,4.8
2017,Technic,Stunt Truck,23.511165217,7,4.708695652
2016,Creator 3-in-1,Airshow Aces,19.7411,16,4.51413401
2016,Minecraft,The Iron Golem,26.759266667,16,4.6
2004,Mission Deep Freeze,Mobile Command Center,50.2971,10,4.0
2015,Avengers,Iron Man vs. Ultron,12.7311,25,4.5
2017,Cars,Flo's Café,61.1556,3,5.0
2018,Juniors,Road Repair Truck,12.349266667,16,4.51413401
2018,Juniors,Mountain Police Chase,24.629790244,16,4.51413401
2018,Nexo Knights,Berserker Bomber,38.051790476,16,4.51413401
2018,Nexo Knights,Tech Wizard Showdown,51.731790476,3,5.0
2018,Nexo Knights,Aaron's X-bow,64.459409524,16,4.51413401
2018,Nexo Knights,Axl's Rolling Arsenal,78.632742857,3,4.0
2018,Technic,WHACK!,24.454980952,1,5.0
2018,Technic,BASH!,24.454980952,2,4.0
2018,Technic,Hook Loader,12.984504762,2,4.5
2018,Friends,Friendship House,87.303219048,7,4.061904762
2018,Friends,Mia's Camper Van,68.603219048,16,4.51413401
2018,Friends,Stephanie's Sports Arena,50.693695238,1,4.0
2018,Friends,Emma's Art Café,38.984171429,3,2.7
2018,Friends,Mia's Tree House,37.761314286,2,5.0
2018,Friends,Andrea's Park Performance,32.611375,1,5.0
2018,Friends,Olivia's Mission Vehicle,24.340375,1,5.0
2018,Friends,Emma's Art Stand,24.550375,16,4.51413401
2018,Friends,Stephanie's Soccer Practice,18.039875,16,4.51413401
2018,Friends,Olivia's Deluxe Bedroom,18.039875,1,4.0
2018,Friends,Stephanie's Bedroom,12.314375,2,5.0
2018,Friends,Mia's Bedroom,12.314375,3,3.0
2018,Modular Buildings,Downtown Diner,198.202361905,62,4.6
2018,Police,Off-Road Chase,7.30307619,2,4.5
2018,Police,Mountain Fugitives,12.388314286,2,5.0
2018,Police,Mountain Police Headquarters,105.693695238,8,4.6
2018,Police,Mountain River Heist,51.827028571,16,4.51413401
2018,Police,Wild River Escape,18.885933333,1,5.0
2018,Airport,Airshow Jet,12.254980952,2,4.5
2018,Traffic,Speed Record Car,12.254980952,1,5.0
2018,City,Pickup & Caravan,35.66212381,7,5.0
2018,Construction,Mining Team,12.388314286,2,5.0
2018,Construction,Mining Power Splitter,18.885933333,1,5.0
2018,Construction,Mining Heavy Driller,52.188933333,1,5.0
2018,Construction,Mining Experts Site,114.274647619,1,5.0
2018,Creator 3-in-1,Mythical Creatures,18.910695238,5,4.4
2018,Creator 3-in-1,Rocket Rally Car,24.624028571,2,5.0
2018,Creator 3-in-1,Sunshine Surfer Van,37.473695238,5,4.4
2018,Creator 3-in-1,Modular Winter Vacation,37.659409524,2,3.5
2018,Justice League,Speed Force Freeze Pursuit,44.301314286,6,4.8
2018,Disney Princess,Mulan's Training Day,18.694980952,1,5.0
2018,Disney Princess,Sleeping Beauty's Fairytale Castle,50.079409524,3,4.3
2018,Disney Princess,Cinderella's Dream Castle,98.96512381,3,4.3
2018,Marvel Super Heroes,Spider-Man vs. Scorpion Street Showdown,28.614504762,1,4.0
2018,Ninjago,Zane's Ninja Boat Pursuit,24.60515122,16,4.51413401
2018,Minecraft,The Melon Farm,18.39083,4,4.3
2018,Minecraft,The Nether Fight,18.384504762,16,4.51413401
2018,Minecraft,The Chicken Coop,25.526789474,4,4.5
2018,Minecraft,The Zombie Cave,25.418314286,2,5.0
2018,Minecraft,The Farm Cottage,76.284171429,4,4.8
2018,Ninjago,Kai - Spinjitzu Master,12.534028571,16,4.51413401
2018,Ninjago,Nya - Spinjitzu Master,12.534028571,16,4.51413401
2018,Ninjago,Jay - Spinjitzu Master,12.534028571,1,4.0
2018,Ninjago,Zane - Spinjitzu Master,12.534028571,16,4.51413401
2018,Ninjago,Cole - Spinjitzu Master,12.534028571,2,5.0
2018,Ninjago,Katana V11,24.424028571,3,5.0
2018,Ninjago,Street Race of Snake Jaguar,37.70448,3,4.7
2018,Ninjago,S.O.G. Headquarters,52.86512381,16,4.51413401
2018,Ninjago,Ninja Nightcrawler,51.041314286,4,4.8
2018,Ninjago,Killow vs. Samurai X,62.467980952,2,4.0
2018,Jurassic World,Gentle Giants Petting Zoo,24.454980952,1,5.0
2005,Legoville,Farm Animals,12.10307619,16,4.51413401
2018,Ninjago,Temple of Resurrection,87.027028571,6,4.2
2018,Technic,First Responder,52.027028571,1,5.0
2018,Technic,Hovercraft,90.998457143,5,4.2
2018,Technic,Rally Car,123.842625,8,4.4
2018,Technic,Mack Anthem,196.378552381,22,4.7
2018,The LEGO Batman Movie,The Bat-Dune Buggy,31.128790476,2,4.5
2018,The LEGO Batman Movie,The Bat-Space Shuttle,101.612742857,9,4.8
2017,The LEGO Ninjago Movie,Lloyd - Spinjitzu Master,12.556885714,1,4.988431762
2017,The LEGO Ninjago Movie,Piranha Attack,24.590695238,8,3.6
2017,The LEGO Ninjago Movie,Garmadon's Volcano Lair,63.407980952,7,4.3
2017,The LEGO Ninjago Movie,Quake Mech,104.579409524,11,4.5
2017,The LEGO Ninjago Movie,"garmadon, Garmadon, GARMADON!",103.379409524,9,4.9
2018,Skylines,Shanghai,75.96607619,7,4.9
2018,Elves,Emily Jones & the Eagle Getaway,18.147361905,2,5.0
2018,Elves,Naida & the Water Turtle Ambush,31.064028571,2,5.0
2018,Elves,Azari & the Fire Lion Capture,38.077504762,2,4.0
2018,Elves,Aira & the Song of the Wind Dragon,50.293695238,2,5.0
2018,Brickheadz,Rey,18.877520635,3,4.9
2018,Super Heroes Marvel,Rhino Face-Off by the Mine,32.519266667,6,4.7
2018,Super Heroes Marvel,Royal Talon Fighter Attack,44.301314286,7,4.7
2022,Town,Fire Truck,30.794171429,2,5.0
2022,Ninjago,Lloyd,10.0611,7,5.0
2021,Police,Police Patrol Boat,48.3911,5,3.2
2021,Fire,Fire Ladder Truck,24.8126,11,4.5
2013,Fire,Fire Truck,30.794171429,2,5.0
2021,Ninjago,Lloyd,10.0611,7,5.0
1971,Fire,Fire Truck,30.794171429,2,5.0
2018,Basic Set,My First Ladybug,5.897361905,16,4.51413401
2018,Duplo,Large Playground Brick Box,57.193695238,16,4.51413401
2018,Basic Set,Fun Creations,31.787838095,16,4.51413401
2018,Town,Airport,29.7816,15,4.556383226
2018,Nexo Knights,Lance's Hover Jouster,24.868790476,16,4.51413401
2018,Star Wars,First Order Specialists Battle Pack,18.954028571,15,4.1
2018,Star Wars,General Grievous' Combat Speeder,37.123219048,19,2.6
2018,Super Heroes Marvel,Mighty Micros: Scarlet Spider vs. Sandman,12.421647619,16,4.51413401
2018,Super Heroes Marvel,Mighty Micros: Star-Lord vs. Nebula,12.421647619,16,4.51413401
2018,Super Heroes Marvel,Mighty Micros: Thor vs. Loki,12.421647619,2,3.5
2018,LEGO Ideas and CUUSOO,Ship in a Bottle,88.6556,83,4.5
1977,Harbor,Hovercraft,90.998457143,5,4.2
2009,Legoville,My First Plane,4.4411,16,4.51413401
2019,Town,Baby Animals,10.0611,4,5.0
1967,Vehicle,Ferry,30.5911,14,4.2
2021,Creator 3-in-1,Ferris Wheel,226.449980952,91,4.9
2021,Architecture,Taj Mahal,408.4025,43,4.8
2021,Promotional,Carousel,232.252838095,53,4.4
2017,Police,Mobile Command Center,50.2971,10,4.0
2022,Fire,Fire Station,121.721409524,16,4.6
2017,Super Heroes Marvel,Mighty Micros: Wolverine vs. Magneto,10.0611,4,4.0
2017,Minecraft,The Mushroom Island,26.277361905,5,4.6
2017,Frozen,Anna's Snow Adventure,19.7411,2,5.0
2016,Minecraft,The End Portal,59.2411,6,5.0
2017,Juniors,Anna & Elsa's Frozen Playground,30.500219048,3,4.7
2014,Bricks & More,Creative Suitcase,25.154980952,2,5.0
2015,Playhouse,My First Playhouse,17.7911,3,5.0
2017,Disney Princess,Petite's Royal Stable,10.0611,16,4.51413401
1958,Town Plan,Fire Station,121.721409524,16,4.6
1990,Basic Set,Airport,29.7816,15,4.556383226
2020,Disney Princess,Belle,10.0611,10,4.8
2017,Friends,Heartlake Surf Shop,24.550375,4,4.5
2017,Cars,Thunder Hollow Crazy 8 Race,47.261314286,2,5.0
2017,The LEGO Ninjago Movie,Master Falls,37.718457143,10,4.0
2022,Police,Police Station,123.969028571,10,4.7
2021,Easter,Easter Bunny,12.378790476,4,5.0
2010,Educational and Dacta,Connections Kit,676.352861905,8,3.4
2016,Nexo Knights,Ultimate Lance,10.0611,2,3.5
2018,Nexo Knights,Twinfector,24.868790476,1,5.0
2022,Classic,Blue Baseplate,9.903552381,6,4.7
1999,Primo,My First Plane,4.4411,16,4.51413401
2020,Town,Fire Truck,30.794171429,2,5.0
2020,Star Wars,Elite Praetorian Guard,31.800695238,7,4.7
2018,Classic,Creative Suitcase,25.154980952,2,5.0
2017,Nexo Knights,Hovercraft,90.998457143,5,4.2
2010,Educational and Dacta,Window Exploration Bag,437.42292381,2,5.0
2019,Star Wars,Slave I,246.829978947,201,4.8
2002,Control Lab,Touch Sensor,22.91625,13,3.8
2013,EV3,EV3 Infrared Beacon,41.701733333,3,5.0
2015,Minecraft,The Desert Outpost,59.2411,15,4.8
2013,EV3,EV3 Intelligent Brick,244.091257143,1,4.0
2006,Legoville,Police Patrol,18.080695238,1,4.0
2020,Monthly Mini Model Build,Easter Bunny,12.378790476,4,5.0
2020,Easter,Easter Bunny,12.378790476,4,5.0
2016,Disney's Mickey Mouse,Mickey & Friends Beach House,42.902266667,3,5.0
2014,Basic Set,Creative Suitcase,25.154980952,2,5.0
2015,Spiderman,Spider-Man Web-Bike Workshop,13.3411,3,3.7
2016,Town,Little Plane,10.0611,1,5.0
2016,Friends,Heartlake Party Shop,30.5911,5,2.8
2015,Town,My First Tractor,13.3411,3,5.0
2013,Duplo,Number Train,23.045457143,5,5.0
2017,Creator Expert,Taj Mahal,408.4025,43,4.8
2018,Friends,Mia's Organic Food Market,24.5881,16,4.51413401
2013,Friends,Stephanie's Soccer Practice,18.039875,16,4.51413401
2015,Spiderman,Spider-Man Spider Truck Adventure,26.6911,1,5.0
2018,Minecraft,The Polar Igloo,49.903219048,16,4.51413401
2000,Easter,Easter Bunny,12.378790476,4,5.0
2020,Ninjago,Lloyd,10.0611,7,5.0
1986,Service Packs,Farm Animals,12.10307619,16,4.51413401
2016,Friends,Heartlake Puppy Daycare,30.5911,5,5.0
2016,Town,Baby Animals,10.0611,4,5.0
2022,Classic,Green Baseplate,9.8926,46,2.6
2015,Town,My First Bus,5.897361905,16,4.51413401
2009,Playhouse,Family House,50.360361905,16,4.51413401
2017,Frozen,Elsa's Magical Ice Palace,90.196552381,5,4.0
2017,Basic Set,My First Plane,4.4411,16,4.51413401
2016,Friends,Stephanie's Horse Carriage,12.7311,2,3.0
2017,Disney Princess,Berry's Kitchen,6.1111,16,4.51413401
2016,Town,Police Patrol,18.080695238,1,4.0
2017,Duplo,Big Fair,97.7556,1,5.0
2017,Duplo,My First Carousel,29.228790476,6,2.2
2017,Duplo,Fun Family Fair,55.3556,16,4.51413401
2018,Duplo,My First Emotions,23.669266667,16,4.51413401
2018,Spiderman,Spider-Man & Hulk Adventures,36.044647619,16,4.51413401
2016,Duplo,My First Caterpillar,10.0611,16,4.51413401
2018,Classic,Blue Baseplate,9.903552381,6,4.7
2015,Classic,Gray Baseplate,17.848314286,24,4.1
2013,EV3,EV3 Rechargeable DC Battery,122.484738889,6,4.3
2013,EV3,EV3 Infrared Sensor,41.924590476,16,4.51413401
2018,Frozen,Elsa's Market Adventure,24.747838095,16,4.51413401
1957,Town Plan,Fire Station,121.721409524,16,4.6
2013,EV3,EV3 Color Sensor,43.09321,1,5.0
2017,Disney Princess,Cinderella's Enchanted Evening,51.374647619,4,4.8
2017,My Town,Pizzeria,35.413695238,2,5.0
2017,Duplo,Santa's Winter Holiday,26.6911,5,4.2
2017,My Town,Preschool,23.997838095,2,5.0
2018,Friends,Emma's Pet Party,12.332246341,2,5.0
2018,Disney Princess,Ariel's Royal Celebration Boat,63.948933333,3,4.3
2018,Disney Princess,Castle Interior Kit,12.297838095,1,5.0
2005,City,Straight & Crossroad Plates,13.3926,85,3.5
1998,Duplo and Explore,Farm Animals,12.10307619,16,4.51413401
2014,Town,Farm Animals,12.10307619,16,4.51413401
2017,Basic Set,My First Bird,4.4411,2,5.0
2017,Duplo,My First Cakes,4.4411,2,5.0
2017,My Town,Birthday Picnic,17.75783,16,4.51413401
2017,My Town,Family Pets,12.059266667,2,5.0
2018,Duplo,My First Puzzle Pets,12.346885714,16,4.51413401
2018,Duplo,My First Race Car,5.897361905,16,4.51413401
2021,Disney Princess,Belle,10.0611,10,4.8
2018,Town,Farmers' Market,24.316885714,16,4.51413401
2018,Town,Farm Pony Stable,36.256552381,16,4.51413401
2018,Duplo,My First Celebration,18.335457143,16,4.51413401
2017,Disney's Mickey Mouse,Minnie Mouse Bow-tique,50.036552381,16,4.51413401
1990,Service Packs,Brick Separator,2.956552381,180,4.8
2018,Duplo,My First Animal Brick Box,35.585933333,16,4.51413401
2017,Basic Set,My First Bus,5.897361905,16,4.51413401
2022,Avengers,Iron Man,10.0611,8,4.9
2016,Dimensions,Sensei Wu Fun Pack,19.1740375,2,4.5
2015,Ultimate Collector Series,Slave I,246.829978947,201,4.8
2015,Dimensions,Zane Fun Pack,17.986094118,8,4.0
2011,Star Wars,Slave I,246.829978947,201,4.8
2022,Classic,Gray Baseplate,17.848314286,24,4.1
2020,Avengers,Iron Man,10.0611,8,4.9
2015,Technic,Street Motorcycle,39.4911,15,4.9
2010,Star Wars,Rebel Trooper Battle Pack,14.1211,10,4.7
2013,Technic,Hovercraft,90.998457143,5,4.2
2016,Ninjago,Lost Temple,30.5911,1,4.0
1984,Fabuland,Airport,29.7816,15,4.556383226
1977,Vehicle,Rally Car,123.842625,8,4.4
1984,Classic Town,Fire Truck,30.794171429,2,5.0
2017,Police,Auto Transport Heist,48.3911,2,4.0
2016,Star Wars,Resistance Trooper Battle Pack,12.7311,16,4.5
2016,City,Volcano Supply Helicopter,48.3911,3,4.3
2017,Super Heroes Marvel,Mighty Micros: Spider-Man vs. Scorpion,10.0611,1,4.0
2014,Easter,Easter Bunny,12.378790476,4,5.0
2017,Technic,BMW R 1200 GS Adventure,65.550838095,12,4.7
2008,Creator Expert,Volkswagen Beetle,117.088933333,66,4.9
2017,Juniors,Fire Patrol Suitcase,25.387361905,1,4.0
1981,Classic Town,Fire Station,121.721409524,16,4.6
2011,Bricks & More,Airport,29.7816,15,4.556383226
2010,Technic,Buggy,10.0611,7,4.9
2016,Creator 3-in-1,Propeller Plane,19.7411,7,4.9
2012,Constraction,The Hulk,10.0611,8,4.6
2016,Creator 3-in-1,Vacation Getaways,81.309757895,23,4.9
1978,Classic Town,Fire Station,121.721409524,16,4.6
1973,Fire,Fire Station,121.721409524,16,4.6
2023,Friends,Sea Rescue Plane,24.538314286,3,4.3
2023,Marvel Series 2,Beast,10.0611,2,5.0
1973,Boat,Ferry,30.5911,14,4.2
2017,Traffic,Pizza Van,24.100219048,35,4.9
1976,Fire,Fire Truck,30.794171429,2,5.0
2008,Creator Expert,Taj Mahal,408.4025,43,4.8
2016,Town,My First Truck,23.30307619,16,4.51413401
1996,Service Packs,Brick Separator,2.956552381,180,4.8
1999,Town,Fire Boat,78.9911,2,4.5
2013,Educational and Dacta,Connections Kit,676.352861905,8,3.4
2007,Fire,Fire Boat,78.9911,2,4.5
2015,Classic,Green Baseplate,9.8926,46,2.6
2022,Avengers,Thanos,12.415933333,2,5.0
2013,EV3,EV3 Touch Sensor,24.071590476,16,4.51413401
2013,EV3,EV3 Large Servo Motor,35.99887619,2,5.0
2013,EV3,EV3 Ultrasonic Sensor,41.923104762,4,3.5
2023,LEGO Brand Store,Easter Bunny,12.378790476,4,5.0
2015,Classic,Sand Baseplate,7.8911,24,3.6
2023,Avengers,Iron Man,10.0611,8,4.9
2017,Nexo Knights,Combo NEXO Powers Wave 1,3.5511,8,3.4
2013,EV3,EV3 Medium Servo Motor,29.98993,1,5.0
2013,EV3,EV3 Gyro Sensor,41.924590476,16,4.51413401
2005,City,T-Junction & Curved Road Plates,13.3926,40,3.9
2017,Ninjago,Lloyd,10.0611,7,5.0
2018,The LEGO Ninjago Movie,Flying Jelly Sub,37.955541463,7,4.6
